Activity ID,Activity Type,Activity Date,Activity Owner,Notes/Description,Call/Meeting Title/Subject,Call Outcome,Meeting Outcome,Task Status,Task Due Date,Associated Contact Email
ACT-50799962-aca7-4bd8-a168-a0d1bd069212,Call,2023-07-14,pam.beesly@example.com,Film present hotel day design.,Call with contact taylorrobertson@example.org,Connected,,,,taylorrobertson@example.org
ACT-8c2d8715-0bee-43df-ac7a-a3fa95b264d9,Email,2023-04-06,michael.scott@example.com,Similar allow hot subject across. Western financial technology operation future agent ok employee.,,,,,,madisoncollier@example.com
ACT-ba6699d6-7278-4a74-968b-0079f787ff96,Task,2023-12-18,michael.scott@example.com,Machine south learn police.,Follow up task for contact smathews@example.com,,,Waiting,2025-05-28,smathews@example.com
ACT-28fba4b5-3128-4f24-9923-a0c82ab4151e,Note,2022-07-03,michael.scott@example.com,Over fish movie fall. Treat various computer discussion.,,,,,,ogrant@example.com
ACT-339b709b-39e5-4ed3-bdcc-052963605255,Email,2022-11-06,michael.scott@example.com,Believe yard particularly. May ability little bring religious back.,,,,,,coryfrazier@example.org
ACT-b1f77126-c971-4d13-b633-6dc5812e020a,Note,2023-07-16,angela.martin@example.com,Half environmental control surface safe down seek hair.,,,,,,tiffanylee@example.net
ACT-92217cb1-9817-4e72-a005-a42ef0cd863c,Meeting,2022-03-07,kevin.malone@example.com,Your her community country data wonder.,Meeting regarding contact calebnelson@example.org,,Scheduled,,,calebnelson@example.org
ACT-36c125e1-545b-4ffa-8714-e6dee4ec346a,Call,2022-12-15,angela.martin@example.com,Really for fear child ball newspaper receive.,Call with contact christophersanchez@example.org,Wrong Number,,,,christophersanchez@example.org
ACT-27f4cede-3e60-410d-9c89-43010b32b3b4,Email,2023-11-30,michael.scott@example.com,Send near trade language the.,,,,,,edunn@example.net
ACT-75771a44-0845-47c9-a2e1-754b7ef0eff2,Note,2024-12-14,dwight.schrute@example.com,Party situation trouble fear wide. Fill business do so expert.,,,,,,briandaniel@example.com
ACT-11159fca-41c3-4c11-81ca-9cddf6acd1ac,Note,2022-12-01,michael.scott@example.com,International tough by try.,,,,,,alicebaker@example.org
ACT-3c5f9114-5267-4c59-a376-dc73ca5f01a8,Email,2023-12-02,dwight.schrute@example.com,Audience base air. Common manager two standard laugh where home.,,,,,,dromero@example.net
ACT-54bd93fe-fcc7-47ef-b6f4-edf678e7620c,Email,2024-02-02,oscar.martinez@example.com,Anyone into strategy art meeting land tonight training.,,,,,,jennifermurphy@example.net
ACT-3308db37-dbee-4c86-bbd6-6876ab5f45f3,Task,2022-06-06,michael.scott@example.com,Society again eat.,Follow up task for contact renee09@example.com,,,,2025-05-23,renee09@example.com
ACT-d1e8cf77-2320-483e-94a0-74db896a0d91,Note,2025-03-06,kevin.malone@example.com,Onto spend energy increase former.,,,,,,joshuadavidson@example.com
ACT-fc92711a-981b-458d-b784-29112f8b3683,Task,2023-06-26,angela.martin@example.com,Under never nature million pull conference.,Follow up task for contact jneal@example.net,,,Completed,,jneal@example.net
ACT-517a009e-c3b9-477a-a4e6-af35a05b3713,Task,2023-08-08,pam.beesly@example.com,Republican daughter network reduce.,Follow up task for contact romantroy@example.com,,,Not Started,2025-05-12,romantroy@example.com
ACT-15c021ab-ea7b-4c21-9494-a5aeef09f297,Meeting,2024-11-04,dwight.schrute@example.com,Space too night dog movie hour method.,Meeting regarding contact xwilliams@example.com,,Scheduled,,,xwilliams@example.com
ACT-e89ec43f-2f94-4414-84ae-a39d2efb3b65,Meeting,2024-10-11,oscar.martinez@example.com,Keep total degree land likely meet local I.,Meeting regarding contact francespena@example.org,,Cancelled,,,francespena@example.org
ACT-940c993f-fc89-4261-a3a0-9d418c07b00a,Meeting,2022-07-14,pam.beesly@example.com,Rule explain glass whether learn probably.,Meeting regarding contact joy59@example.net,,Rescheduled,,,joy59@example.net
ACT-2f831c97-236e-4846-aa88-61e3ddf8590a,Call,2023-02-17,jim.halpert@example.com,Page class until political.,Call with contact mjohnson@example.org,Wrong Number,,,,mjohnson@example.org
ACT-4323ce87-59a0-42e2-8efb-e9c04d76b1ad,Note,2022-11-12,oscar.martinez@example.com,Director another no build. Never near civil physical once ok.,,,,,,angelaramsey@example.net
ACT-cc1869a7-4a0c-43d0-bc3f-74937c9c8db3,Meeting,2025-03-27,michael.scott@example.com,Do whether century face seem court physical.,Meeting regarding contact uperez@example.net,,Scheduled,,,uperez@example.net
ACT-ed162ccf-932d-422b-a20a-93d49db90882,Email,2023-12-31,oscar.martinez@example.com,Life raise development summer material. Company peace leader magazine base.,,,,,,amanda52@example.org
ACT-07199e98-ff23-4a16-bd08-570c2bcafe1d,Meeting,2023-01-03,pam.beesly@example.com,Manage raise college kind hit.,Meeting regarding contact jesse31@example.org,,Completed,,,jesse31@example.org
ACT-dbd4b1a8-61b1-43c2-b4e1-fa43109ca571,Note,2022-10-29,angela.martin@example.com,Only run coach fly.,,,,,,scott04@example.com
ACT-93d2b5c1-4593-4e4c-b59c-0f1cadfa00e8,Email,2024-03-22,oscar.martinez@example.com,Window sport because do price rule will.,,,,,,itran@example.com
ACT-01803676-a1be-4a84-a11d-06407b9c1043,Note,2023-08-20,pam.beesly@example.com,Owner especially stay beautiful wall short. Marriage part develop.,,,,,,lewismiranda@example.net
ACT-f08855df-162e-40e0-adc9-6931380936a3,Note,2024-07-16,jim.halpert@example.com,Tell yes anything and. Final event to history style set hear.,,,,,,ishaw@example.org
ACT-39a6f30b-e733-4ae8-9232-db62f93cbf03,Email,2023-10-07,michael.scott@example.com,Floor safe recent maybe line report score.,,,,,,frankwalsh@example.com
ACT-ea45105a-7303-4023-8e33-4cb742ff8e4a,Meeting,2023-02-22,oscar.martinez@example.com,Court surface kind.,Meeting regarding contact mlarson@example.org,,Scheduled,,,mlarson@example.org
ACT-01dd8762-d31a-491d-bbef-b43a36a0f892,Meeting,2024-10-28,oscar.martinez@example.com,Control stage up medical improve avoid per.,Meeting regarding contact phillipsdavid@example.net,,Scheduled,,,phillipsdavid@example.net
ACT-472ebe0a-bbd2-4413-af80-2424e4c47e87,Task,2022-04-11,oscar.martinez@example.com,Alone light method seat degree north either.,Follow up task for contact hwyatt@example.net,,,Completed,,hwyatt@example.net
ACT-9351256e-a634-46d1-99bd-e1a6639529e2,Note,2024-11-09,oscar.martinez@example.com,Happen scene production.,,,,,,nguyenrandy@example.org
ACT-e43776cc-5894-4c39-b5ce-d57a247e2915,Meeting,2022-05-31,oscar.martinez@example.com,Human allow yourself himself dog talk.,Meeting regarding contact sarahmcdonald@example.com,,Rescheduled,,,sarahmcdonald@example.com
ACT-0459c080-f544-48be-b5fc-4b3af110ec57,Meeting,2024-12-03,dwight.schrute@example.com,Throughout drive to.,Meeting regarding contact kerry34@example.org,,Rescheduled,,,kerry34@example.org
ACT-89ddd3c8-fb0f-42d5-a9cd-f7915486a782,Call,2022-09-09,jim.halpert@example.com,Within machine discuss rise ready case thought.,Call with contact samantha47@example.org,No Answer,,,,samantha47@example.org
ACT-c2f683f7-2400-406c-8af2-4283d8714780,Meeting,2024-12-14,kevin.malone@example.com,Hit perhaps beat benefit face response pull control.,Meeting regarding contact toddandersen@example.net,,No Show,,,toddandersen@example.net
ACT-73ef8ac9-fe3e-4972-874c-17b9189704af,Note,2024-05-05,oscar.martinez@example.com,After team well. Source probably admit.,,,,,,zachary91@example.org
ACT-febc141e-7d75-46d2-a2c0-06992531e915,Meeting,2022-12-17,michael.scott@example.com,Represent boy add usually home account in.,Meeting regarding contact williamscott@example.net,,Rescheduled,,,williamscott@example.net
ACT-dedc940b-0b80-46fb-ad35-592266e66b10,Call,2023-05-12,jim.halpert@example.com,Skill police energy a.,Call with contact brent64@example.org,,,,,brent64@example.org
ACT-6ec6da2a-6caa-4440-b3e7-e18ca2ccb81c,Email,2025-03-17,oscar.martinez@example.com,Network kitchen quite relate mention traditional agreement.,,,,,,ccharles@example.org
ACT-87924676-a823-4397-9958-d770d0f9c9ee,Note,2023-03-02,angela.martin@example.com,Few drop style early next.,,,,,,maryjohnson@example.org
ACT-46d02dd0-04ed-4eb2-941d-db1516299469,Note,2023-06-02,pam.beesly@example.com,Establish option husband building get.,,,,,,gburns@example.net
ACT-6f1bea32-f962-4366-bc4e-252b7297c8c0,Note,2022-05-23,dwight.schrute@example.com,Exactly around relationship leg cut financial. Policy society rise move.,,,,,,michael58@example.org
ACT-9965468f-adef-4b58-9e44-80ca34543e45,Task,2023-08-15,kevin.malone@example.com,Could front anyone go environment wind agent.,Follow up task for contact fwright@example.org,,,,2025-05-31,fwright@example.org
ACT-272f31be-8fd8-4373-8968-31f240319eef,Email,2024-10-31,kevin.malone@example.com,Trip effect capital work sing must.,,,,,,cynthiaharris@example.org
ACT-00c94ecb-c498-4417-bb06-7a9134b9f46c,Email,2023-05-16,angela.martin@example.com,Young report key above want state. Thousand age group.,,,,,,cliu@example.org
ACT-23edee92-9f66-4613-9f41-73bcbccd46e2,Task,2024-01-28,pam.beesly@example.com,First between research whom question building them.,Follow up task for contact christopher94@example.com,,,Deferred,2025-05-20,christopher94@example.com
ACT-fb4c45cf-190c-4ee1-ac49-735e82dc43d7,Note,2025-02-18,jim.halpert@example.com,Need budget city spend child.,,,,,,briandaniel@example.com
ACT-90f3c245-9593-4c97-ace4-abd97dae51c5,Task,2023-02-23,angela.martin@example.com,Woman measure law ok.,Follow up task for contact nathanhill@example.net,,,Not Started,2025-05-22,nathanhill@example.net
ACT-a6919fcf-6ce9-4ae7-a5de-2e62b66853e7,Email,2024-03-02,michael.scott@example.com,Rule shake pull product.,,,,,,jose26@example.com
ACT-0e57a5f6-c8d4-4276-a321-b8b300f148d3,Email,2025-04-04,pam.beesly@example.com,News town then.,,,,,,sarahwatson@example.org
ACT-fadba5a8-e532-4512-a07c-9ae4e1abea1a,Email,2024-05-27,dwight.schrute@example.com,Keep local white forward amount. Kid true positive interest ask myself.,,,,,,blewis@example.net
ACT-e0c76794-5d07-4a2c-b691-c656527aa76b,Call,2022-02-06,kevin.malone@example.com,Brother best small home similar.,Call with contact lisachapman@example.org,Left Voicemail,,,,lisachapman@example.org
ACT-361ae1c3-bdf5-4164-84e2-fc1f0f342b89,Meeting,2024-01-20,pam.beesly@example.com,Range pay condition what bring her.,Meeting regarding contact rpowell@example.org,,No Show,,,rpowell@example.org
ACT-0962c5a3-3f16-4853-8ae8-9cd11eb76dbb,Meeting,2022-07-01,dwight.schrute@example.com,Decade while project political.,Meeting regarding contact paynechristy@example.org,,No Show,,,paynechristy@example.org
ACT-dcb154d5-1bd1-447f-95fe-d480291a434e,Task,2022-05-27,dwight.schrute@example.com,A there want parent though.,Follow up task for contact manningjessica@example.net,,,Completed,,manningjessica@example.net
ACT-9975cccc-6c77-4166-9537-c629aee8855e,Email,2023-09-06,dwight.schrute@example.com,Increase speak let spring.,,,,,,phillip05@example.org
ACT-ad120a15-906f-4e0e-8492-7b659fe2cca3,Meeting,2024-04-01,oscar.martinez@example.com,Option statement who trial fly education gun.,Meeting regarding contact rodriguezvanessa@example.org,,,,,rodriguezvanessa@example.org
ACT-a9f91796-aa78-493b-9fcd-1734b5b0d36e,Meeting,2023-09-09,oscar.martinez@example.com,Single dinner middle field.,Meeting regarding contact william00@example.com,,Rescheduled,,,william00@example.com
ACT-155dfde6-afa4-44f6-bf40-4b7649f18e10,Email,2024-01-10,michael.scott@example.com,Report myself any yeah.,,,,,,jesuslewis@example.org
ACT-022a83c0-8cc9-4ab9-bbd3-4bff5ec743bf,Email,2023-01-21,kevin.malone@example.com,Space plan activity individual away man kitchen.,,,,,,vortiz@example.com
ACT-f78a4602-7607-495e-be77-d427d9444bd6,Call,2022-06-29,jim.halpert@example.com,Special attention everything receive area either.,Call with contact brian67@example.net,No Answer,,,,brian67@example.net
ACT-d57f83f7-1817-42a0-965c-15d58e2dc220,Note,2023-04-11,jim.halpert@example.com,Responsibility author meet. Federal thought treat.,,,,,,lbenson@example.com
