Deal ID,Deal Name,Deal Stage,Pipeline,Amount,Close Date,Create Date,Deal Owner,Deal Type,Closed Lost Reason,Associated Company Domain,Associated Contact Email
DEAL-b2b19d36-f446-4de7-bf09-15379257b914,Long Group - New Business Opportunity,Decision Maker Bought-In,Sales Pipeline,210833.37,2025-06-17,2023-03-29,dwight.schrute@example.com,Existing Business,,frost.info,joshuadavidson@example.com
DEAL-4c6547c3-7ec2-4ee7-88d0-c8b4c6b9765e,"Bailey, Walters and Lewis - New Business Opportunity",Closed Won,Sales Pipeline,233290.22,2025-01-09,2023-08-26,michael.scott@example.com,New Business,,barker.com,julie70@example.org
DEAL-5b4c6a89-597f-4806-8054-2e6c456fde46,"Williams, Miller and Greene - Existing Business Opportunity",Qualified to Buy,Renewals Pipeline,12532.32,2025-09-03,2025-05-01,pam.beesly@example.com,Existing Business,,evans-brown.info,zwalker@example.org
DEAL-c714bd08-226b-41b9-8046-689b03157e49,"Watkins, Lutz and Horn - New Business Opportunity",Presentation Scheduled,Sales Pipeline,101266.4,2025-08-06,2023-07-11,jim.halpert@example.com,New Business,,cross.com,rhondajordan@example.com
DEAL-9b9885f7-5ca5-448e-9daf-62aa794fc438,Zamora LLC - Existing Business Opportunity,Contract Sent,Renewals Pipeline,37982.86,2025-09-02,2023-06-18,angela.martin@example.com,Existing Business,,glass-arnold.com,annpatterson@example.org
DEAL-b9ceaaee-81b5-4e50-9986-622b6060cba5,Snyder Inc - New Business Opportunity,Appointment Scheduled,Renewals Pipeline,95455.16,2025-10-29,2025-03-09,dwight.schrute@example.com,New Business,,murphy.info,sarah38@example.org
DEAL-cba24fe5-c8f7-4913-a420-8839ea5b87d5,Snyder Inc - New Business Opportunity,Decision Maker Bought-In,Renewals Pipeline,148554.61,2025-07-02,2023-07-06,michael.scott@example.com,Existing Business,,murphy.info,scottsmith@example.com
DEAL-85a9dfb0-86b4-439d-aa04-68e6addc4f3d,"Alvarez, Roberts and Brooks - Existing Business Opportunity",Contract Sent,Sales Pipeline,48398.05,2025-08-09,2023-07-15,pam.beesly@example.com,Existing Business,,smith.org,matthewmatthews@example.org
DEAL-e293dd81-8999-4661-9972-58f967b59eed,"Lamb, Garcia and Obrien - Existing Business Opportunity",Decision Maker Bought-In,Sales Pipeline,41927.15,2025-07-17,2023-04-02,jim.halpert@example.com,New Business,,galvan.org,jessicacastaneda@example.org
DEAL-3608e54a-4204-40b7-bfd1-b0b9742dda76,"Jackson, Harris and Hill - Existing Business Opportunity",Appointment Scheduled,Renewals Pipeline,169392.81,2025-07-27,2024-08-18,angela.martin@example.com,Existing Business,,sanders.com,carolynsmith@example.com
DEAL-78aa0fba-be4b-4e6e-aab8-59c4f46c1490,Hart Inc - Existing Business Opportunity,Closed Won,Sales Pipeline,109753.52,2024-07-05,2024-01-08,dwight.schrute@example.com,New Business,,burke.info,sherry82@example.net
DEAL-72d7fe36-e2f5-481b-8e17-6d5a53c9da58,Gregory-Graham - New Business Opportunity,Closed Lost,Sales Pipeline,60703.26,2023-03-29,2023-02-01,michael.scott@example.com,Existing Business,Product Fit,fowler.com,dgarcia@example.net
DEAL-4eeec607-4c7e-4212-a856-8075fcfc302d,Gonzalez-Dalton - New Business Opportunity,Decision Maker Bought-In,Sales Pipeline,193350.34,2025-07-06,2024-03-06,pam.beesly@example.com,New Business,,george.com,sydney50@example.com
DEAL-2bf0c0d7-8d09-4dea-8f53-f8604296545e,Jones-Richardson - Existing Business Opportunity,Appointment Scheduled,Sales Pipeline,9954.76,2025-06-12,2024-08-25,jim.halpert@example.com,Existing Business,,garcia.org,martinezjeffery@example.com
DEAL-397c2dfa-7a48-4ed6-a991-7592562d583e,Castillo-Campbell - Existing Business Opportunity,Appointment Scheduled,Sales Pipeline,22520.98,2025-06-10,2023-05-17,angela.martin@example.com,Existing Business,,lewis.com,juan56@example.net
DEAL-3130fe17-660f-4c31-9cf7-32a3ad93b7d3,"Thompson, Gordon and Moore - New Business Opportunity",Decision Maker Bought-In,Sales Pipeline,28617.06,2025-09-02,2024-07-05,dwight.schrute@example.com,New Business,,giles.com,guerrapaul@example.com
DEAL-b11b4354-7dd1-4463-b8b4-8e7886f787b2,"Klein, Ford and Oliver - New Business Opportunity",Qualified to Buy,Sales Pipeline,75399.56,2025-08-01,2023-01-28,michael.scott@example.com,Existing Business,,miller-benitez.com,kelly69@example.org
DEAL-5b0cc308-6383-4919-af2c-fd39f4bc98d3,Vasquez LLC - New Business Opportunity,Decision Maker Bought-In,Sales Pipeline,100612.57,2025-05-28,2024-07-11,pam.beesly@example.com,Existing Business,,thompson-reed.org,jasonobrien@example.com
DEAL-a29f3e55-89d0-4e6f-a45f-8fe8d0ba5061,"Jackson, Harris and Hill - Existing Business Opportunity",Presentation Scheduled,Sales Pipeline,236158.24,2025-09-12,2023-10-08,jim.halpert@example.com,Existing Business,,sanders.com,omorse@example.net
DEAL-1c17bdac-922e-4a5e-997f-801a8e8197cc,Kirby Ltd - Existing Business Opportunity,Presentation Scheduled,Sales Pipeline,47835.41,2025-09-14,2024-12-01,angela.martin@example.com,New Business,,lewis-jones.com,josephwilson@example.org
DEAL-a6b2b770-84c1-48e8-b987-dfdf614c0603,Thomas-Parker - New Business Opportunity,Appointment Scheduled,Renewals Pipeline,4905.17,2025-08-05,2023-11-12,dwight.schrute@example.com,Existing Business,,hernandez.com,moniquecruz@example.com
DEAL-06827438-de7c-47aa-9e07-38de79b9a9a3,Eaton Ltd - New Business Opportunity,Presentation Scheduled,Sales Pipeline,229569.91,2025-08-21,2023-03-25,michael.scott@example.com,New Business,,stevenson.com,cferguson@example.com
DEAL-9052465a-bad8-406b-8893-1b131376a574,Scott Inc - Existing Business Opportunity,Presentation Scheduled,Renewals Pipeline,142520.53,2025-05-13,2024-04-15,pam.beesly@example.com,New Business,,medina-fischer.info,patricia58@example.org
DEAL-e17c1d33-2d8a-4f19-b73b-77ec96e133e5,Cruz Inc - Existing Business Opportunity,Closed Lost,Sales Pipeline,242670.35,2024-12-23,2024-07-20,jim.halpert@example.com,Existing Business,Timing,flowers.net,john40@example.org
DEAL-0dce3bad-5c9f-471f-aa9e-3018924ca6f4,Herrera-Ibarra - Existing Business Opportunity,Appointment Scheduled,Renewals Pipeline,219571.65,2025-06-25,2024-10-16,angela.martin@example.com,Existing Business,,montgomery.net,lisachapman@example.org
